Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Emiliano Martínez,Aston Villa,Goleiro,43,93,76,20
Gerónimo Rulli,Marseille,Goleiro,45,86,84,26
Juan Musso,Atlético Madrid,Goleiro,40,93,79,25
Lionel Messi,Inter Miami,Atacante,96,22,78,18
Julián Álvarez,Atlético Madrid,Atacante,94,26,87,20
Lautaro Martínez,Inter,Atacante,93,24,88,24
Nicolás Otamendi,Benfica,Defensor,55,85,79,18
Nicolás Tagliafico,Lyon,Defensor,57,93,81,41
Marcos Acuña,River Plate,Defensor,61,83,90,37
Nahuel Molina,Atlético Madrid,Defensor,58,86,81,40
Cristian Romero,Tottenham Hotspur,Defensor,57,84,76,35
Nicolás González,Juventus,Atacante,87,30,84,22
Gonzalo Montiel,River Plate,Defensor,64,91,91,23
Lisandro Martínez,Manchester United,Defensor,57,92,87,33
Lucas Martínez Quarta,River Plate,Defensor,63,85,83,27
Alejandro Garnacho,Manchester United,Atacante,86,28,89,30
Paulo Dybala,Roma,Atacante,89,25,80,28
Thiago Almada,Lyon,Atacante,84,32,85,26
Giuliano Simeone,Atlético Madrid,Atacante,82,34,86,33
Enzo Fernández,Chelsea,Meio-Campo,85,84,84,20
Alexis Mac Allister,Liverpool,Meio-Campo,84,82,82,18
Leandro Paredes,Roma,Meio-Campo,80,80,79,25
Giovani Lo Celso,Real Betis,Meio-Campo,83,78,81,27
Exequiel Palacios,Bayer Leverkusen,Meio-Campo,81,83,87,20
Guido Rodríguez,Real Betis,Meio-Campo,76,86,83,23
Rodrigo De Paul,Inter Miami,Meio-Campo,87,75,91,17
