Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Mathew Ryan,Levante,Goleiro,25,73,83,11
Paul Izzo,Randers,Goleiro,29,75,90,18
Patrick Beach,Melbourne City,Goleiro,25,73,75,30
Miloš Degenek,APOEL,Defensor,45,78,85,24
Jacob Italiano,Grazer AK,Defensor,40,70,78,24
Kye Rowles,D.C. United,Defensor,35,68,89,35
Jordan Bos,Feyenoord,Defensor,38,75,88,18
Kai Trewin,New York City,Defensor,39,75,89,37
Aziz Behich,Melbourne City,Defensor,42,70,86,35
Jason Geria,Albirex Niigata,Defensor,40,67,82,38
Cameron Burgess,Swansea City,Defensor,42,72,85,40
Alessandro Circati,Parma,Defensor,37,80,75,35
Lucas Herrington,Colorado Rapids,Defensor,37,80,84,37
Connor Metcalfe,FC St. Pauli,Meio-Campo,66,63,77,37
Ajdin Hrustić,Heracles Almelo,Meio-Campo,70,74,76,33
Aiden O'Neill,New York City,Meio-Campo,65,64,88,28
Riley McGree,Middlesbrough,Meio-Campo,61,70,88,18
Patrick Yazbek,Nashville SC,Meio-Campo,58,60,90,12
Paul Okon-Engstler,Sydney FC,Meio-Campo,74,70,82,18
Alex Robertson,Cardiff City,Meio-Campo,62,65,92,26
Martin Boyle,Hibernian,Atacante,76,19,82,44
Nestory Irankunda,Watford,Atacante,80,28,87,27
Nishan Velupillay,Melbourne Victory,Atacante,77,12,91,31
Awer Mabil,Castellón,Atacante,80,14,91,12
Deni Jurić,Wisła Płock,Atacante,75,25,80,41
Ante Šuto,Hibernian,Atacante,68,25,80,25
