Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Devis Epassy,Dinamo București,Goleiro,27,76,82,30
Simon Ngapandouetnbu,Montpellier,Goleiro,25,79,82,17
Blondy Nna Noukeu,Boulogne,Goleiro,25,77,82,30
Housseini Ousmanou,Gazelle,Goleiro,27,77,82,25
Jackson Tchatchoua,Wolverhampton Wanderers,Defensor,34,69,90,35
Darlin Yongwa,Lorient,Defensor,36,80,87,36
Aboubakar Nagida,Rennes,Defensor,41,75,77,32
Che Malone,USM Alger,Defensor,39,67,82,26
Samuel Kotto,Reims,Defensor,44,76,78,21
Oliver Kamdem,Levski Sofia,Defensor,45,78,90,22
Kévin Keben,Watford,Defensor,35,73,80,34
Stephane Keller,Al-Ittihad,Defensor,41,76,81,24
Emmanuel Moungam,Landskrona,Defensor,39,79,82,20
Serge Valery Eloundou Ndzomo,AS Fortuna,Defensor,39,70,92,42
Arthur Avom,Lorient,Meio-Campo,59,65,91,25
Arnold Maël Kamdem,Sport Sinop,Meio-Campo,58,64,91,29
Saidou Alioum,IFK Göteborg,Meio-Campo,63,66,91,20
Ryan Fosso,Sturm Graz,Meio-Campo,73,77,91,23
Maël Fernandez Monyebe,Gazelle,Meio-Campo,75,66,75,17
Brice Ambina,Vålerenga,Meio-Campo,61,63,80,30
Hamadou Moubarak,Villarreal C,Meio-Campo,74,67,83,18
Konrad Nfanseu Sinyam,Panthère,Meio-Campo,64,60,76,14
Danny Namaso,Auxerre,Atacante,80,20,82,40
Karl Etta Eyong,Levante,Atacante,77,12,80,21
Christian Kofane,Bayer Leverkusen,Atacante,70,28,83,20
Angel Yondjo,Lille,Atacante,78,13,76,40
