Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Gregor Kobel,Borussia Dortmund,Goleiro,32,82,85,30
Yvon Mvogo,Lorient,Goleiro,33,82,78,18
Marvin Keller,Young Boys,Goleiro,32,84,89,26
Miro Muheim,Hamburger SV,Defensor,52,86,79,28
Silvan Widmer,Mainz 05,Defensor,53,76,84,41
Nico Elvedi,Borussia Mönchengladbach,Defensor,51,78,85,22
Manuel Akanji,Inter Milan,Defensor,55,77,92,42
Ricardo Rodriguez,Betis,Defensor,45,82,91,19
Eray Cömert,Valencia,Defensor,48,78,80,39
Aurèle Amenda,Eintracht Frankfurt,Defensor,42,76,87,25
Luca Jaquez,VfB Stuttgart,Defensor,46,80,89,33
Denis Zakaria,Monaco,Meio-Campo,71,68,89,27
Remo Freuler,Bologna,Meio-Campo,69,73,80,32
Johan Manzambi,SC Freiburg,Meio-Campo,71,76,77,24
Granit Xhaka,Sunderland,Meio-Campo,68,70,80,30
Ardon Jashari,Milan,Meio-Campo,78,75,90,40
Djibril Sow,Sevilla,Meio-Campo,74,77,92,24
Christian Fassnacht,Young Boys,Meio-Campo,75,82,86,18
Michel Aebischer,Pisa,Meio-Campo,73,76,78,18
Fabian Rieder,FC Augsburg,Meio-Campo,75,78,75,24
Breel Embolo,Rennes,Atacante,83,18,77,31
Dan Ndoye,Nottingham Forest,Atacante,87,32,89,40
Rubén Vargas,Sevilla,Atacante,86,15,89,15
Noah Okafor,Leeds United,Atacante,79,18,85,22
Zeki Amdouni,Burnley,Atacante,88,24,88,21
Cedric Itten,Fortuna Düsseldorf,Atacante,85,26,87,37
