Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Thibaut Courtois,Real Madrid,Goleiro,45,93,80,19
Senne Lammens,Manchester United,Goleiro,40,88,83,20
Mike Penders,Strasbourg,Goleiro,45,89,87,26
Thomas Meunier,Lille,Defensor,53,83,77,40
Timothy Castagne,Fulham,Defensor,60,89,87,41
Arthur Theate,Eintracht Frankfurt,Defensor,65,90,77,28
Zeno Debast,Sporting CP,Defensor,65,84,77,28
Maxim De Cuyper,Brighton & Hove Albion,Defensor,65,85,78,23
Brandon Mechele,Club Brugge,Defensor,55,87,77,18
Koni De Winter,Milan,Defensor,57,84,75,42
Joaquin Seys,Club Brugge,Defensor,65,84,84,39
Nathan Ngoy,Lille,Defensor,63,85,84,31
Axel Witsel,Girona,Meio-Campo,81,90,83,35
Kevin De Bruyne,Napoli,Meio-Campo,90,82,79,22
Youri Tielemans,Aston Villa,Meio-Campo,78,76,87,34
Hans Vanaken,Club Brugge,Meio-Campo,89,89,88,27
Amadou Onana,Aston Villa,Meio-Campo,82,76,79,30
Nicolas Raskin,Rangers,Meio-Campo,80,85,88,19
Diego Moreira,Strasbourg,Meio-Campo,89,75,82,35
Romelu Lukaku,Napoli,Atacante,88,21,92,27
Leandro Trossard,Arsenal,Atacante,90,30,91,45
Charles De Ketelaere,Atalanta,Atacante,89,34,89,23
Jérémy Doku,Manchester City,Atacante,97,32,86,36
Dodi Lukébakio,Benfica,Atacante,88,38,80,40
Alexis Saelemaekers,Milan,Atacante,87,18,86,39
Matias Fernandez-Pardo,Lille,Atacante,89,20,92,38
