Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Alexander Schlager,Red Bull Salzburg,Goleiro,32,86,81,16
Florian Wiegele,Viktoria Plzeň,Goleiro,36,86,75,15
Patrick Pentz,Brøndby,Goleiro,35,81,89,22
David Affengruber,Elche,Defensor,46,83,80,33
Kevin Danso,Tottenham Hotspur,Defensor,47,80,85,24
Stefan Posch,Mainz 05,Defensor,49,83,82,35
David Alaba,Real Madrid,Defensor,44,81,84,34
Philipp Lienhart,SC Freiburg,Defensor,55,76,85,31
Phillipp Mwene,Mainz 05,Defensor,52,79,76,39
Alexander Prass,TSG Hoffenheim,Defensor,46,79,83,26
Marco Friedl,Werder Bremen,Defensor,49,83,85,33
Michael Svoboda,Venezia,Defensor,48,80,88,30
Xaver Schlager,RB Leipzig,Meio-Campo,80,74,75,40
Nicolas Seiwald,RB Leipzig,Meio-Campo,85,83,82,28
Marcel Sabitzer,Borussia Dortmund,Meio-Campo,74,80,87,33
Florian Grillitsch,Braga,Meio-Campo,68,71,90,18
Carney Chukwuemeka,Borussia Dortmund,Meio-Campo,88,75,78,39
Romano Schmid,Werder Bremen,Meio-Campo,80,68,91,33
Christoph Baumgartner,RB Leipzig,Meio-Campo,81,77,80,12
Konrad Laimer,Bayern Munich,Meio-Campo,73,74,92,14
Patrick Wimmer,VfL Wolfsburg,Meio-Campo,80,73,79,20
Paul Wanner,PSV,Meio-Campo,75,78,89,34
Alessandro Schöpf,Wolfsberger AC,Meio-Campo,71,77,85,37
Marko Arnautović,Red Star Belgrade,Atacante,82,16,88,33
Michael Gregoritsch,FC Augsburg,Atacante,84,15,92,29
Saša Kalajdžić,LASK,Atacante,88,32,82,37
